epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,10207.2,1.56392,1.96825,1.50529,0.77767,0.33238,0.34043,0.15576,0.2024,2.10765,0.2168,0.002377,0.002377,0.002377
79,10337.5,1.60875,2.03115,1.54209,0.77088,0.3125,0.33646,0.15547,0.20075,1.82437,0.21547,0.002278,0.002278,0.002278
80,10467.7,1.56961,2.02786,1.48729,0.79526,0.30847,0.34679,0.15786,0.20201,1.52828,0.21405,0.002179,0.002179,0.002179
81,10597.3,1.56649,1.93094,1.53091,0.79827,0.31855,0.36874,0.17124,0.20375,1.70486,0.21694,0.00208,0.00208,0.00208
82,10728.1,1.54056,1.95319,1.48578,0.78443,0.32187,0.35947,0.17088,0.19964,1.72478,0.21407,0.001981,0.001981,0.001981
83,10858,1.50452,1.88574,1.43297,0.78965,0.31653,0.35465,0.16908,0.20136,1.68916,0.21451,0.001882,0.001882,0.001882
84,10988.6,1.53963,1.9431,1.49478,0.7813,0.29563,0.367,0.17431,0.19924,1.73499,0.2131,0.001783,0.001783,0.001783
85,11119.6,1.53537,1.86567,1.46348,0.78957,0.3004,0.35203,0.16463,0.20109,1.74509,0.21455,0.001684,0.001684,0.001684
86,11251.3,1.54373,1.87857,1.46673,0.77632,0.3246,0.34933,0.1625,0.20226,1.70146,0.21584,0.001585,0.001585,0.001585
87,11381.9,1.50115,1.92168,1.44194,0.77359,0.33133,0.35798,0.17029,0.19932,1.57985,0.21463,0.001486,0.001486,0.001486
88,11511.9,1.50247,1.90106,1.43626,0.77823,0.34073,0.35946,0.17007,0.20121,1.60994,0.2156,0.001387,0.001387,0.001387
89,11642.1,1.53139,1.86611,1.46233,0.7933,0.31653,0.34985,0.16507,0.20275,1.4567,0.21601,0.001288,0.001288,0.001288
90,11771.8,1.47437,1.85272,1.41281,0.3254,0.39556,0.35439,0.16779,0.20399,1.1345,0.21721,0.001189,0.001189,0.001189
91,11899.8,1.24317,1.49325,1.28023,0.36196,0.39354,0.35245,0.16672,0.20384,0.96326,0.21643,0.00109,0.00109,0.00109
92,12025.3,1.25069,1.50492,1.31217,0.47107,0.38925,0.35923,0.1678,0.20342,1.06796,0.21682,0.000991,0.000991,0.000991
93,12149.3,1.28727,1.44405,1.3282,0.36569,0.39731,0.37054,0.17327,0.20342,1.14858,0.21645,0.000892,0.000892,0.000892
94,12274.6,1.23052,1.46531,1.31104,0.39886,0.41147,0.37079,0.16978,0.20319,1.21354,0.21687,0.000793,0.000793,0.000793
95,12400.1,1.2368,1.40517,1.30363,0.2891,0.42382,0.36831,0.17091,0.20303,1.19306,0.21729,0.000694,0.000694,0.000694
96,12524.4,1.21221,1.37674,1.28804,0.28277,0.43413,0.37164,0.17328,0.20439,1.18429,0.21867,0.000595,0.000595,0.000595
97,12651.1,1.20337,1.36261,1.27276,0.28166,0.43816,0.36978,0.17369,0.20506,1.20382,0.21916,0.000496,0.000496,0.000496
98,12777.7,1.20269,1.35405,1.26218,0.29662,0.44434,0.37133,0.17344,0.20486,1.22479,0.21924,0.000397,0.000397,0.000397
99,12903.7,1.21532,1.36332,1.28221,0.27941,0.44851,0.36918,0.17372,0.20504,1.19252,0.21977,0.000298,0.000298,0.000298
