epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2571.41,1.21502,1.03939,1.28956,0.37959,0.41874,0.35432,0.17364,0.27275,3.93457,0.2552,0.003169,0.003169,0.003169
71,2606.51,1.23182,1.05409,1.29934,0.43443,0.42699,0.38353,0.19067,0.26995,3.74889,0.25092,0.00307,0.00307,0.00307
72,2641.66,1.19625,1.02094,1.27414,0.41433,0.41913,0.37292,0.17944,0.26931,3.34803,0.25072,0.002971,0.002971,0.002971
73,2677.15,1.18852,0.99147,1.27825,0.4042,0.44527,0.37895,0.18551,0.27435,3.6243,0.25425,0.002872,0.002872,0.002872
74,2712.38,1.17097,1.008,1.26635,0.45551,0.42283,0.38769,0.19227,0.27184,2.82286,0.25568,0.002773,0.002773,0.002773
75,2747.84,1.14957,0.96659,1.25531,0.40837,0.43515,0.38477,0.19147,0.27116,3.02898,0.25616,0.002674,0.002674,0.002674
76,2783.05,1.17949,1.01223,1.28435,0.33661,0.46125,0.37019,0.18524,0.27012,3.39896,0.25593,0.002575,0.002575,0.002575
77,2818.27,1.15861,0.96748,1.2662,0.34333,0.48156,0.3785,0.18961,0.26896,2.86282,0.25446,0.002476,0.002476,0.002476
78,2853.43,1.15748,0.93387,1.25159,0.41723,0.37794,0.37714,0.18689,0.27478,3.0301,0.25935,0.002377,0.002377,0.002377
79,2888.78,1.13598,0.95065,1.24259,0.42613,0.3981,0.377,0.18936,0.27114,2.4643,0.25552,0.002278,0.002278,0.002278
80,2924.03,1.13135,0.95354,1.25391,0.43839,0.43076,0.37976,0.18877,0.27119,2.34075,0.25571,0.002179,0.002179,0.002179
81,2959.16,1.12788,0.89702,1.24321,0.35034,0.44084,0.37422,0.18489,0.27351,2.47266,0.25705,0.00208,0.00208,0.00208
82,2994.46,1.11529,0.89899,1.23458,0.33111,0.44577,0.3636,0.18208,0.27258,2.57889,0.2564,0.001981,0.001981,0.001981
83,3030.16,1.09763,0.89986,1.22624,0.32066,0.43466,0.35538,0.17313,0.27368,2.81498,0.25874,0.001882,0.001882,0.001882
84,3065.35,1.09313,0.87653,1.22013,0.32795,0.42646,0.35902,0.17856,0.27305,2.76034,0.25768,0.001783,0.001783,0.001783
85,3100.54,1.1043,0.87148,1.22039,0.40217,0.40492,0.36496,0.18231,0.2734,3.10606,0.25747,0.001684,0.001684,0.001684
86,3135.8,1.0951,0.90808,1.22234,0.37746,0.40565,0.36447,0.18228,0.27373,3.17659,0.25791,0.001585,0.001585,0.001585
87,3171.22,1.05968,0.84413,1.19668,0.33847,0.42941,0.3529,0.17443,0.27164,3.14489,0.25683,0.001486,0.001486,0.001486
88,3206.63,1.05454,0.82839,1.19958,0.36879,0.41235,0.35331,0.17679,0.27273,3.61933,0.25922,0.001387,0.001387,0.001387
89,3242.04,1.02884,0.80827,1.17563,0.47138,0.33332,0.35111,0.17607,0.27223,3.7661,0.25895,0.001288,0.001288,0.001288
90,3277.2,1.04427,0.83163,1.18722,0.38077,0.41018,0.35405,0.17402,0.27462,3.64746,0.26103,0.001189,0.001189,0.001189
91,3313.69,0.94088,0.6076,1.12475,0.40377,0.40313,0.34875,0.17552,0.27256,3.50194,0.25833,0.00109,0.00109,0.00109
92,3348.38,0.92072,0.59332,1.10875,0.40956,0.38399,0.35284,0.17723,0.27188,3.23766,0.25824,0.000991,0.000991,0.000991
93,3382.84,0.90666,0.56613,1.09316,0.38416,0.39418,0.34998,0.17859,0.27344,3.24336,0.2605,0.000892,0.000892,0.000892
94,3417.56,0.87276,0.5467,1.06941,0.43641,0.33319,0.34635,0.17522,0.27647,3.24047,0.26293,0.000793,0.000793,0.000793
